Hebrew,English,KedushaHe,NoKedushaHe,SefihinHe,NoSefihinHe,BiurHe,KedushaEn,NoKedushaEn,SefihinEn,NoSefihinEn,BiurEn,Type,Kedusha,NoKedusha,Sefihin,NoSefihin,Biur
לימה,Lime,סיון,סיון תשע”ו,אין,אין,חשון תשע”ו,Sivan,Sivan 5776,None,None,Heshvan 5776,fruit,1 Sivan 5775,28 Sivan 5776,None,None,1 Heshvan 5776
לימון,Lemon,סיון,סיון תשע”ו,אין,אין,תמוז תשע”ו,Sivan,Sivan 5776,None,None,Tammuz 5776,fruit,1 Sivan 5775,28 Sivan 5776,None,None,1 Tammuz 5776
לימקוואט,Limequat,סיון,סיון תשע”ו,אין,אין,חשון תשע”ו,Sivan,Sivan 5776,None,None,Heshvan 5776,fruit,1 Sivan 5775,28 Sivan 5776,None,None,1 Heshvan 5776
מנגו,Mango,סיון,סיון תשע”ו,אין,אין,טבת תשע”ו,Sivan,Sivan 5776,None,None,Tevet 5776,fruit,1 Sivan 5775,28 Sivan 5776,None,None,1 Tevet 5776
משמש,Apricot,סיון,סיון תשע”ו,אין,אין,אב (תשע”ה),Sivan,Sivan 5776,None,None,Av (5775),fruit,1 Sivan 5775,28 Sivan 5776,None,None,1 Av 5775
נקטרינה,Nectarine,אדר,אדר תשע”ו,אין,אין,כסלו תשע”ו,Adar,Adar 5776,None,None,Kislev 5776,fruit,1 Adar 5775,28 Adar 5776,None,None,1 Kislev 5776
ענבים – יין,Grapes (wine),תמוז,תמוז תשע”ו,אין,אין,פסח תשע”ו,Tammuz,Tammuz 5776,None,None,Pesach 5776,fruit,1 Tammuz 5775,28 Tammuz 5776,None,None,15 Nissan 5776
ענבים – מאכל,Grapes (whole),ניסן,ניסן תשע”ו,אין,אין,פסח תשע”ו,Nissan,Nissan 5776,None,None,Pesach 5776,fruit,1 Nissan 5775,28 Nissan 5776,None,None,15 Nissan 5776
ערמונים,Chestnut,אין,אין,אין,אין,אין,None,None,None,None,None,fruit,None,None,None,None,None
פומלה,Pomela,אלול,אלול תשע”ו,אין,אין,סיון תשע”ו,Elul,Elul 5776,None,None,Sivan 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Sivan 5776
פומלית,Pomelit (sweetie),אלול,אלול תשע”ו,אין,אין,סיון תשע”ו,Elul,Elul 5776,None,None,Sivan 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Sivan 5776
פיג'ויה,Feijoa (guavasteen),אלול,אלול תשע”ו,אין,אין,שבט תשע”ו,Elul,Elul 5776,None,None,Shvat 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Shvat 5776
פיטאיה – צהובה,Pitahaya – yellow,טבת,טבת תשע”ו,אין,אין,ניסן תשע”ו,Tevet,Tevet 5776,None,None,Nissan 5776,fruit,1 Tevet 5775,28 Tevet 5776,None,None,1 Nissan 5776
פיטאיה – אדומה,Pitahaya – red,חשון,חשון תשע”ו,אין,אין,חשון תשע”ו,Heshvan,Heshvan 5776,None,None,Heshvan 5776,fruit,1 Heshvan 5775,28 Heshvan 5776,None,None,1 Heshvan 5776
צבר,Sabra,סיון,סיון תשע”ו,אין,אין,חשון תשע”ו,Sivan,Sivan 5776,None,None,Heshvan 5776,fruit,1 Sivan 5775,28 Sivan 5776,None,None,1 Heshvan 5776
קובו,Peruvian Apple Cactus,חשון,חשון תשע”ו,אין,אין,חשון תשע”ו,Heshvan,Heshvan 5776,None,None,Heshvan 5776,fruit,1 Heshvan 5775,28 Heshvan 5776,None,None,1 Heshvan 5776
קומקוואט,Kumquat,חשון תשע”ו,חשון תשע”ז,אין,אין,אדר תשע”ו,Heshvan 5776,Heshvan 5777,None,None,Adar 5776,fruit,1 Heshvan 5776,28 Heshvan 5777,None,None,1 Adar 5776
קיווי,Kiwi,אלול,אלול תשע”ו,אין,אין,טבת תשע”ו,Elul,Elul 5776,None,None,Tevet 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Tevet 5776
קלמטינה/קליפים,"Clementine, peels",אלול,אלול תשע”ו,אין,אין,אייר תשע”ו,Elul,Elul 5776,None,None,Iyyar 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Iyyar 5776
קרמבולה,Starfruit (carambola),כסלו,כסלו תשע”ו,אין,אין,שבט תשע”ו,Kislev,Kislev 5776,None,None,Shvat 5776,fruit,1 Kislev 5775,28 Kislev 5776,None,None,1 Shvat 5776
רימון,Pomegranate,אב,אב תשע”ו,אין,אין,אדר תשע”ו,Av,Av 5776,None,None,Adar 5776,fruit,1 Av 5775,28 Av 5776,None,None,1 Adar 5776
שזיף אירופי (מאורך),Plum (long/European),אב,אב תשע”ו,אין,אין,חשון תשע”ו,Av,Av 5776,None,None,Heshvan 5776,fruit,1 Av 5775,28 Av 5776,None,None,1 Heshvan 5776
שזיף יפני (עגול),Plum (round/Japanese),ניסן,אייר תשע”ו,אין,אין,כסלו תשע”ו,Nissan,Iyyar 5776,None,None,Kislev 5776,fruit,1 Nissan 5775,28 Iyyar 5776,None,None,1 Kislev 5776
שסק,Loquat,אדר,שבט תשע”ו,אין,אין,סיון (תשע”ה),Adar,Shvat 5776,None,None,Sivan (5775),fruit,1 Adar 5775,28 Shvat 5776,None,None,1 Sivan 5775
שקד יבש,Almond (dry),סיון,סיון תשע”ו,אין,אין,טבת תשע”ו,Sivan,Sivan 5776,None,None,Tevet 5776,fruit,1 Sivan 5775,28 Sivan 5776,None,None,1 Tevet 5776
שקד ירוק,Almond (green),אלול,אלול תשע”ו,אין,אין,טבת תשע”ו,Elul,Elul 5776,None,None,Tevet 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Tevet 5776
תאנה טרייה,Fig (fresh),ניסן,ניסן תשע”ו,אין,אין,חנוכה תשע”ו,Nissan,Nissan 5776,None,None,Hanukah 5776,fruit,1 Nissan 5775,28 Nissan 5776,None,None,25 Kislev 5776
תות עץ,Mulberry,סיון,סיון תשע”ו,אין,אין,תשרי תשע”ו,Sivan,Sivan 5776,None,None,Tishrei 5776,fruit,1 Sivan 5775,28 Sivan 5776,None,None,1 Tishrei 5776
תמר,Date,אלול,אלול תשע”ו,אין,אין,פורים תשע”ו,Elul,Elul 5776,None,None,Purim 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,14 Adar 5776
תפוז,Orange,אלול,אלול תשע”ו,אין,אין,תמוז תשע”ו,Elul,Elul 5776,None,None,Tammuz 5776,fruit,1 Elul 5775,28 Elul 5776,None,None,1 Tammuz 5776
תפוח,Apple,אב,אב תשע”ו,אין,אין,שבט תשע”ו,Av,Av 5776,None,None,Shvat 5776,fruit,1 Av 5775,28 Av 5776,None,None,1 Shvat 5776
